Country,Date,Amount,Controller_Processor,Quoted_Art,Type,LLM_Summary
SPAIN,2020-03-18,30000,Telefónica,58,Insufficient cooperation with supervisory authority,"On 2020-03-18, the DPA of SPAIN fined Telefónica €30000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
CROATIA,2020-03-13,0,Bank (name not available at the moment),15,Insufficient fulfilment of data subjects rights,"On 2020-03-13, the DPA of CROATIA fined Bank (name not available at the moment) €0 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 15)."
GERMANY,2019-08-05,200,Private person (YouTube-Channel),"5,6",Insufficient legal basis for data processing,"On 2019-08-05, the DPA of GERMANY fined Private person (YouTube-Channel) €200 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
NORWAY,2020-02-28,0,Coop Finnmark SA,"5,6",Insufficient legal basis for data processing,"On 2020-02-28, the DPA of NORWAY fined Coop Finnmark SA €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,2000,Restaurant,5,Non-compliance with general data processing principles,"On NaT, the DPA of GERMANY fined Restaurant €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
NORWAY,2020-02-26,0,Rælingen Municipality,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-02-26, the DPA of NORWAY fined Rælingen Municipality €0 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
ICELAND,2020-03-10,9000,Breiðholt Upper Secondary School,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-03-10, the DPA of ICELAND fined Breiðholt Upper Secondary School €9000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
ICELAND,2020-03-10,20600,National Center of Addiction Medicine ('SAA'),"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-03-10, the DPA of ICELAND fined National Center of Addiction Medicine ('SAA') €20600 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SWEDEN,2020-03-11,5000000,Google LLC,"5,6,17",Insufficient fulfilment of data subjects rights,"On 2020-03-11, the DPA of SWEDEN fined Google LLC €5000000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 5,6,17)."
DENMARK,2020-03-10,14000,Gladsaxe Municipality,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-03-10, the DPA of DENMARK fined Gladsaxe Municipality €14000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
DENMARK,2020-03-10,7000,Hørsholm Municipality,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-03-10, the DPA of DENMARK fined Hørsholm Municipality €7000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2020-03-09,15000,Gesthotel Activos Balagares,5,Non-compliance with general data processing principles,"On 2020-03-09, the DPA of SPAIN fined Gesthotel Activos Balagares €15000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2020-03-06,4000,Private person,5,Non-compliance with general data processing principles,"On 2020-03-06, the DPA of SPAIN fined Private person €4000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2020-03-06,4000,Liceo Scientifico Nobel di Torre del Greco,"5,6,9",Insufficient legal basis for data processing,"On 2020-03-06, the DPA of ITALY fined Liceo Scientifico Nobel di Torre del Greco €4000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,9)."
ITALY,2020-03-06,4000,Liceo Artistico Statale di Napoli,"5,6,9",Insufficient legal basis for data processing,"On 2020-03-06, the DPA of ITALY fined Liceo Artistico Statale di Napoli €4000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,9)."
SPAIN,2020-03-04,60000,"Vodafone España, S.A.U.","5,6",Insufficient legal basis for data processing,"On 2020-03-04, the DPA of SPAIN fined Vodafone España, S.A.U. €60000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
POLAND,2020-03-04,0,School in Gdansk (Danzig) (fine imposed against town of Gdansk),"5,9",Insufficient legal basis for data processing,"On 2020-03-04, the DPA of POLAND fined School in Gdansk (Danzig) (fine imposed against town of Gdansk) €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,9)."
SPAIN,2020-03-03,24000,"Vodafone España, S.A.U.","5,6",Insufficient legal basis for data processing,"On 2020-03-03, the DPA of SPAIN fined Vodafone España, S.A.U. €24000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-03-03,40000,"Vodafone España, S.A.U.","5,6",Insufficient legal basis for data processing,"On 2020-03-03, the DPA of SPAIN fined Vodafone España, S.A.U. €40000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-03-03,42000,"Vodafone España, S.A.U.","5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-03-03, the DPA of SPAIN fined Vodafone España, S.A.U. €42000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2020-03-03,1800,Solo Embrague,13,Insufficient fulfilment of information obligations,"On 2020-03-03, the DPA of SPAIN fined Solo Embrague €1800 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2020-02-28,3600,AEMA Hispánica,5,Non-compliance with general data processing principles,"On 2020-02-28, the DPA of SPAIN fined AEMA Hispánica €3600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
THE NETHERLANDS,2020-03-03,525000,Royal Dutch Tennis Association ('KNLTB'),"5,6",Insufficient legal basis for data processing,"On 2020-03-03, the DPA of THE NETHERLANDS fined Royal Dutch Tennis Association ('KNLTB') €525000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-25,6000,Casa Gracio Operation,5,Non-compliance with general data processing principles,"On 2020-02-25, the DPA of SPAIN fined Casa Gracio Operation €6000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2020-02-25,48000,HM Hospitales,"5,6",Insufficient legal basis for data processing,"On 2020-02-25, the DPA of SPAIN fined HM Hospitales €48000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-28,48000,"Vodafone ONO, S.A.U.",32,Insufficient technical and organisational measures to ensure information security,"On 2020-02-28, the DPA of SPAIN fined Vodafone ONO, S.A.U. €48000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2020-02-27,120000,"Vodafone España, S.A.U.","5,6",Insufficient legal basis for data processing,"On 2020-02-27, the DPA of SPAIN fined Vodafone España, S.A.U. €120000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
ITALY,2020-01-23,30000,Sapienza Università di Roma,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-01-23, the DPA of ITALY fined Sapienza Università di Roma €30000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
ITALY,2020-01-23,30000,Azienda Ospedaliero Universitaria Integrata di Verona (Hospital),"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-01-23, the DPA of ITALY fined Azienda Ospedaliero Universitaria Integrata di Verona (Hospital) €30000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2020-02-14,30000,Xfera Moviles S.A.,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-02-14, the DPA of SPAIN fined Xfera Moviles S.A. €30000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2020-02-14,42000,"Vodafone España, S.A.U.","5,32",Insufficient technical and organisational measures to ensure information security,"On 2020-02-14, the DPA of SPAIN fined Vodafone España, S.A.U. €42000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2020-02-14,80000,Iberdrola Clientes,6,Insufficient legal basis for data processing,"On 2020-02-14, the DPA of SPAIN fined Iberdrola Clientes €80000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2020-02-18,1500,"Mymoviles Europa 2000, S.L.",13,Insufficient fulfilment of information obligations,"On 2020-02-18, the DPA of SPAIN fined Mymoviles Europa 2000, S.L. €1500 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2020-02-14,3000,Colegio Arenales Carabanchel (School),6,Insufficient legal basis for data processing,"On 2020-02-14, the DPA of SPAIN fined Colegio Arenales Carabanchel (School) €3000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2020-02-14,2500,"Grupo Valsor Y Losan, S.L.",5,Insufficient technical and organisational measures to ensure information security,"On 2020-02-14, the DPA of SPAIN fined Grupo Valsor Y Losan, S.L. €2500 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
GERMANY,,0,Hamburger Volksbank eG,21,Insufficient fulfilment of data subjects rights,"On NaT, the DPA of GERMANY fined Hamburger Volksbank eG €0 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 21)."
GERMANY,,20000,Hamburger Verkehrsverbund GmbH (HVV GmbH),"33,34",Insufficient fulfilment of data breach notification obligations,"On NaT, the DPA of GERMANY fined Hamburger Verkehrsverbund GmbH (HVV GmbH) €20000 for Insufficient fulfilment of data breach notification obligations (Violating GDPR Article 33,34)."
GERMANY,,51000,Facebook Germany GmbH,37,Lack of appointment of data protection officer,"On NaT, the DPA of GERMANY fined Facebook Germany GmbH €51000 for Lack of appointment of data protection officer (Violating GDPR Article 37)."
ITALY,2020-01-15,10000,Community of Francavilla Fontana,"5,6",Insufficient legal basis for data processing,"On 2020-01-15, the DPA of ITALY fined Community of Francavilla Fontana €10000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-04,1500,Cafetería Nagasaki,"5,6",Insufficient legal basis for data processing,"On 2020-02-04, the DPA of SPAIN fined Cafetería Nagasaki €1500 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-03,800,Automoción,"5,6",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Automoción €800 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-03,5000,Queseria Artesenal Ameco S.L.,"5,6",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Queseria Artesenal Ameco S.L. €5000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-03,6670,Banco Bilbao Vizcaya Argentaria S.L.,"5,6,21",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Banco Bilbao Vizcaya Argentaria S.L. €6670 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,21)."
SPAIN,2020-02-03,75000,"Vodafone España, S.A.U.","5,6",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Vodafone España, S.A.U. €75000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-03,20000,"Iberia Lineas Aereas de Espana, S.A. Operadora Unipersonal","5,6,21",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Iberia Lineas Aereas de Espana, S.A. Operadora Unipersonal €20000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,21)."
SPAIN,2020-02-03,50000,"Vodafone España, S.A.U.",5,Non-compliance with general data processing principles,"On 2020-02-03, the DPA of SPAIN fined Vodafone España, S.A.U. €50000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2020-02-03,60000,"Vodafone España, S.A.U.","5,6",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Vodafone España, S.A.U. €60000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-03,75000,"Vodafone España, S.A.U.","5,6",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Vodafone España, S.A.U. €75000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-02-03,60000,Xfera Moviles S.A.,"5,6",Insufficient legal basis for data processing,"On 2020-02-03, the DPA of SPAIN fined Xfera Moviles S.A. €60000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2020-01-14,3600,"Zhang Bordeta 2006, S.L. (Store and Restaurant)",5,Non-compliance with general data processing principles,"On 2020-01-14, the DPA of SPAIN fined Zhang Bordeta 2006, S.L. (Store and Restaurant) €3600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GERMANY,2019-10-24,100000,Food company,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2019-10-24, the DPA of GERMANY fined Food company €100000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
ITALY,2020-01-15,27800000,TIM (telecommunications operator),"5,6,17,21,32",Insufficient legal basis for data processing,"On 2020-01-15, the DPA of ITALY fined TIM (telecommunications operator) €27800000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,17,21,32)."
GREECE,2019-12-19,150000,Aegean Marine Petroleum Network Inc.,"5,6,32",Insufficient technical and organisational measures to ensure information security,"On 2019-12-19, the DPA of GREECE fined Aegean Marine Petroleum Network Inc. €150000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,6,32)."
ITALY,2019-12-11,3000000,Eni Gas e Luce,"5,6",Insufficient legal basis for data processing,"On 2019-12-11, the DPA of ITALY fined Eni Gas e Luce €3000000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
ITALY,2019-12-11,8500000,Eni Gas e Luce,"5,6,17,21",Insufficient legal basis for data processing,"On 2019-12-11, the DPA of ITALY fined Eni Gas e Luce €8500000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,17,21)."
ROMANIA,2019-12-13,5000,Entirely Shipping & Trading S.R.L.,"5,6,7,9",Non-compliance with general data processing principles,"On 2019-12-13, the DPA of ROMANIA fined Entirely Shipping & Trading S.R.L. €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,7,9)."
ROMANIA,2019-12-13,5000,Entirely Shipping & Trading S.R.L.,"5,6,7",Non-compliance with general data processing principles,"On 2019-12-13, the DPA of ROMANIA fined Entirely Shipping & Trading S.R.L. €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,7)."
GREECE,2020-01-13,15000,Allseas Marine S.A.,5,Non-compliance with general data processing principles,"On 2020-01-13, the DPA of GREECE fined Allseas Marine S.A. €15000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
CYPRUS,2020-01-13,1000,eShop for Sports (M.L. PRO.FIT SOLUTIONS LTD),6,Insufficient legal basis for data processing,"On 2020-01-13, the DPA of CYPRUS fined eShop for Sports (M.L. PRO.FIT SOLUTIONS LTD) €1000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
CYPRUS,2019-10-25,2000,"LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd","6,9",Insufficient legal basis for data processing,"On 2019-10-25, the DPA of CYPRUS fined LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6,9)."
CYPRUS,2019-10-25,10000,"LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd","6,9",Insufficient legal basis for data processing,"On 2019-10-25, the DPA of CYPRUS fined LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd €10000 for Insufficient legal basis for data processing (Violating GDPR Article 6,9)."
CYPRUS,2019-10-25,70000,"LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd","6,9",Insufficient legal basis for data processing,"On 2019-10-25, the DPA of CYPRUS fined LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd €70000 for Insufficient legal basis for data processing (Violating GDPR Article 6,9)."
CYPRUS,2020-01-13,9000,"Social Insurance Services of the Ministry of Labor, Welfare and Social Insurance",32,Insufficient technical and organisational measures to ensure information security,"On 2020-01-13, the DPA of CYPRUS fined Social Insurance Services of the Ministry of Labor, Welfare and Social Insurance €9000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ROMANIA,2019-12-16,6000,SC Enel Energie S.A. (Electricity Distributor),"5,6,7,21",Insufficient legal basis for data processing,"On 2019-12-16, the DPA of ROMANIA fined SC Enel Energie S.A. (Electricity Distributor) €6000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,7,21)."
ROMANIA,2019-12-10,14000,Hora Credit IFN SA,"5,25,32,33",Insufficient technical and organisational measures to ensure information security,"On 2019-12-10, the DPA of ROMANIA fined Hora Credit IFN SA €14000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,25,32,33)."
SPAIN,2020-01-07,10000,Asociación de Médicos Demócratas,6,Insufficient legal basis for data processing,"On 2020-01-07, the DPA of SPAIN fined Asociación de Médicos Demócratas €10000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2020-01-07,75000,"EDP Comercializadora, S.A.U.",6,Insufficient legal basis for data processing,"On 2020-01-07, the DPA of SPAIN fined EDP Comercializadora, S.A.U. €75000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2020-01-07,75000,EDP España S.A.U.,6,Insufficient legal basis for data processing,"On 2020-01-07, the DPA of SPAIN fined EDP España S.A.U. €75000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2020-01-09,3000,"Vodafone España, S.A.U.",58,Insufficient cooperation with supervisory authority,"On 2020-01-09, the DPA of SPAIN fined Vodafone España, S.A.U. €3000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
SPAIN,2020-01-07,44000,"Vodafone España, S.A.U.",5,Non-compliance with general data processing principles,"On 2020-01-07, the DPA of SPAIN fined Vodafone España, S.A.U. €44000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GERMANY,,294000,Unknown,5,Non-compliance with general data processing principles,"On NaT, the DPA of GERMANY fined Unknown €294000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
BELGIUM,2019-12-17,15000,Website providing legal information,"6,12,13",Insufficient fulfilment of information obligations,"On 2019-12-17, the DPA of BELGIUM fined Website providing legal information €15000 for Insufficient fulfilment of information obligations (Violating GDPR Article 6,12,13)."
BULGARIA,2019-10-08,5112,The Ministry of Interior Affairs,5,Insufficient legal basis for data processing,"On 2019-10-08, the DPA of BULGARIA fined The Ministry of Interior Affairs €5112 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
BULGARIA,2019-10-07,511,B.D.,31,Insufficient cooperation with supervisory authority,"On 2019-10-07, the DPA of BULGARIA fined B.D. €511 for Insufficient cooperation with supervisory authority (Violating GDPR Article 31)."
BULGARIA,2019-10-28,511,Employer,12,Insufficient fulfilment of data subjects rights,"On 2019-10-28, the DPA of BULGARIA fined Employer €511 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12)."
BULGARIA,2019-09-03,1121,Private enforcement agent,"12,15",Insufficient fulfilment of data subjects rights,"On 2019-09-03, the DPA of BULGARIA fined Private enforcement agent €1121 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15)."
BULGARIA,2019-09-03,11760,Commercial representative of telecommunication service provider,6,Insufficient legal basis for data processing,"On 2019-09-03, the DPA of BULGARIA fined Commercial representative of telecommunication service provider €11760 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
BULGARIA,2019-09-03,5113,Telecommunication service provide,6,Insufficient legal basis for data processing,"On 2019-09-03, the DPA of BULGARIA fined Telecommunication service provide €5113 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
BULGARIA,2019-09-03,1022,Telecommunication service provide,6,Insufficient legal basis for data processing,"On 2019-09-03, the DPA of BULGARIA fined Telecommunication service provide €1022 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2019-12-10,5000,"Shop Macoyn, S.L.",32,Insufficient technical and organisational measures to ensure information security,"On 2019-12-10, the DPA of SPAIN fined Shop Macoyn, S.L. €5000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ROMANIA,2019-11-29,500,Homeowners Association,32,Insufficient technical and organisational measures to ensure information security,"On 2019-11-29, the DPA of ROMANIA fined Homeowners Association €500 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
BELGIUM,2019-12-17,2000,Nursing Care Organisation,"12,15,17",Insufficient fulfilment of data subjects rights,"On 2019-12-17, the DPA of BELGIUM fined Nursing Care Organisation €2000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15,17)."
UNITED KINGDOM,2019-12-17,320000,Doorstep Dispensaree Ltd. (Pharmacy),32,Insufficient technical and organisational measures to ensure information security,"On 2019-12-17, the DPA of UNITED KINGDOM fined Doorstep Dispensaree Ltd. (Pharmacy) €320000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
HUNGARY,2019-12-11,1430,Unknown Company,"5,6,13,24,25",Non-compliance with general data processing principles,"On 2019-12-11, the DPA of HUNGARY fined Unknown Company €1430 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,13,24,25)."
ROMANIA,2019-12-18,2000,Telekom Romania Mobile Communications SA,32,Insufficient technical and organisational measures to ensure information security,"On 2019-12-18, the DPA of ROMANIA fined Telekom Romania Mobile Communications SA €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
GREECE,2019-10-18,20000,Wind Hellas Telecommunications,21,Insufficient fulfilment of data subjects rights,"On 2019-10-18, the DPA of GREECE fined Wind Hellas Telecommunications €20000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 21)."
THE NETHERLANDS,2019-10-31,50000,Menzis (Health Insurance Company),5,Non-compliance with general data processing principles,"On 2019-10-31, the DPA of THE NETHERLANDS fined Menzis (Health Insurance Company) €50000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2019-10-23,60000,"Vodafone España, S.A.U.",5,Non-compliance with general data processing principles,"On 2019-10-23, the DPA of SPAIN fined Vodafone España, S.A.U. €60000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2019-11-06,60000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2019-11-06, the DPA of SPAIN fined Vodafone España, S.A.U. €60000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2019-11-19,6000,Sports Bar,5,Non-compliance with general data processing principles,"On 2019-11-19, the DPA of SPAIN fined Sports Bar €6000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
HUNGARY,2019-10-24,7400,Military Hospital,"32,33",Insufficient fulfilment of data breach notification obligations,"On 2019-10-24, the DPA of HUNGARY fined Military Hospital €7400 for Insufficient fulfilment of data breach notification obligations (Violating GDPR Article 32,33)."
ROMANIA,2019-12-02,2000,Nicola Medical Team 17 SRL,58,Insufficient cooperation with supervisory authority,"On 2019-12-02, the DPA of ROMANIA fined Nicola Medical Team 17 SRL €2000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
ROMANIA,2019-11-26,3000,Modern Barber,58,Insufficient cooperation with supervisory authority,"On 2019-11-26, the DPA of ROMANIA fined Modern Barber €3000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
SPAIN,2019-12-10,1600,Megastar SL,"5,13",Non-compliance with general data processing principles,"On 2019-12-10, the DPA of SPAIN fined Megastar SL €1600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2019-12-03,5000,Linea Directa Aseguradora,6,Insufficient legal basis for data processing,"On 2019-12-03, the DPA of SPAIN fined Linea Directa Aseguradora €5000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ROMANIA,2019-12-16,2000,Globus Score SRL,58,Insufficient cooperation with supervisory authority,"On 2019-12-16, the DPA of ROMANIA fined Globus Score SRL €2000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
SWEDEN,2019-12-16,35000,Nusvar AB,6,Insufficient legal basis for data processing,"On 2019-12-16, the DPA of SWEDEN fined Nusvar AB €35000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
GERMANY,,800,Police Officer,6,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police Officer €800 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2019-12-03,1500,Cerrajeria Verin S.L.,13,Insufficient fulfilment of information obligations,"On 2019-12-03, the DPA of SPAIN fined Cerrajeria Verin S.L. €1500 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2019-11-28,75000,Curenergía Comercializador de último recurso,6,Insufficient legal basis for data processing,"On 2019-11-28, the DPA of SPAIN fined Curenergía Comercializador de último recurso €75000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
BULGARIA,2019-09-03,28100,National Revenue Agency,6,Insufficient legal basis for data processing,"On 2019-09-03, the DPA of BULGARIA fined National Revenue Agency €28100 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
HUNGARY,,15100,Town of Kerepes,6,Insufficient legal basis for data processing,"On NaT, the DPA of HUNGARY fined Town of Kerepes €15100 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,,3600,"AMADOR RECREATIVOS, S.L",5,Non-compliance with general data processing principles,"On NaT, the DPA of SPAIN fined AMADOR RECREATIVOS, S.L €3600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,,9000,Employer,5,Non-compliance with general data processing principles,"On NaT, the DPA of SPAIN fined Employer €9000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,,20000,Employer,5,Non-compliance with general data processing principles,"On NaT, the DPA of SPAIN fined Employer €20000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,,40000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On NaT, the DPA of SPAIN fined Vodafone España, S.A.U. €40000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,,30000,"Vodafone España, S.A.U.","5,32",Insufficient technical and organisational measures to ensure information security,"On NaT, the DPA of SPAIN fined Vodafone España, S.A.U. €30000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,,48000,"TELEFONICA MOVILES ESPAÑA, S.A.U.",5,Non-compliance with general data processing principles,"On NaT, the DPA of SPAIN fined TELEFONICA MOVILES ESPAÑA, S.A.U. €48000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,,48000,"VODAFONE ONO, S.A.U.",32,Insufficient technical and organisational measures to ensure information security,"On NaT, the DPA of SPAIN fined VODAFONE ONO, S.A.U. €48000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,,36000,"VODAFONE ONO, S.A.U.",5,Non-compliance with general data processing principles,"On NaT, the DPA of SPAIN fined VODAFONE ONO, S.A.U. €36000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,,21000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On NaT, the DPA of SPAIN fined Vodafone España, S.A.U. €21000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
GERMANY,2019-12-09,10000,Rapidata GmbH,37,Lack of appointment of data protection officer,"On 2019-12-09, the DPA of GERMANY fined Rapidata GmbH €10000 for Lack of appointment of data protection officer (Violating GDPR Article 37)."
GERMANY,2020-11-11,900000,Telecoms provider (1&1 Telecom GmbH),32,Insufficient technical and organisational measures to ensure information security,"On 2020-11-11, the DPA of GERMANY fined Telecoms provider (1&1 Telecom GmbH) €900000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ROMANIA,2019-11-29,2500,Royal President S.R.L.,"15,6,32",Insufficient fulfilment of data subjects rights,"On 2019-11-29, the DPA of ROMANIA fined Royal President S.R.L. €2500 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 15,6,32)."
ROMANIA,2019-11-28,80000,ING Bank N.V.,32,Insufficient technical and organisational measures to ensure information security,"On 2019-11-28, the DPA of ROMANIA fined ING Bank N.V. €80000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
